op type,freq,input shape,weight shape
Constant,960,,
Conv,848,"[(1, 512, 120, 68)]: 23
[(1, 1024, 120, 68)]: 23
[(1, 192, 120, 68)]: 21
[(1, 192, 80, 46)]: 20
[(1, 64, 480, 270)]: 19
[(1, 384, 120, 68)]: 19
[(1, 512, 240, 135)]: 17
[(1, 256, 80, 45)]: 16
[(1, 256, 120, 68)]: 16
[(1, 64, 320, 180)]: 15
[(1, 256, 240, 135)]: 15
[(1, 256, 480, 270)]: 14
[(1, 128, 480, 270)]: 13
[(1, 128, 160, 90)]: 12
[(1, 128, 240, 135)]: 12
[(1, 96, 160, 92)]: 12
[(1, 96, 240, 136)]: 12
[(1, 384, 80, 46)]: 11
[(1, 1024, 60, 34)]: 10
[(1, 960, 40, 23)]: 10
[(1, 960, 60, 34)]: 10
[(1, 768, 60, 34)]: 9
[(1, 768, 40, 23)]: 9
[(1, 512, 60, 34)]: 8
[(1, 384, 40, 23)]: 8
[(1, 480, 120, 68)]: 8
[(1, 384, 60, 34)]: 8
[(1, 480, 80, 45)]: 8
[(1, 1152, 60, 34)]: 8
[(1, 240, 1, 1)]: 8
[(1, 1152, 40, 23)]: 8
[(1, 512, 40, 23)]: 8
[(1, 384, 80, 45)]: 8
[(1, 120, 1, 1)]: 8
[(1, 80, 120, 68)]: 7
[(1, 192, 240, 136)]: 7
[(1, 672, 120, 68)]: 7
[(1, 672, 80, 45)]: 7
[(1, 1024, 80, 45)]: 7
[(1, 80, 80, 45)]: 7
[(1, 3, 1920, 1080)]: 7
[(1, 192, 160, 92)]: 7
[(1, 32, 1, 1)]: 6
[(1, 24, 480, 270)]: 6
[(1, 16, 960, 540)]: 6
[(1, 160, 40, 23)]: 6
[(1, 240, 80, 45)]: 6
[(1, 2048, 60, 34)]: 6
[(1, 240, 120, 68)]: 6
[(1, 160, 60, 34)]: 6
[(1, 24, 320, 180)]: 6
[(1, 16, 640, 360)]: 6
[(1, 144, 1, 1)]: 6
[(1, 512, 160, 90)]: 5
[(1, 576, 80, 45)]: 5
[(1, 40, 240, 135)]: 5
[(1, 576, 40, 23)]: 5
[(1, 112, 80, 45)]: 5
[(1, 144, 480, 270)]: 5
[(1, 3, 1280, 720)]: 5
[(1, 112, 120, 68)]: 5
[(1, 192, 160, 90)]: 5
[(1, 144, 320, 180)]: 5
[(1, 192, 240, 135)]: 5
[(1, 576, 120, 68)]: 5
[(1, 576, 60, 34)]: 5
[(1, 40, 160, 90)]: 5
[(1, 64, 1, 1)]: 4
[(1, 96, 120, 68)]: 4
[(1, 96, 320, 184)]: 4
[(1, 184, 80, 45)]: 4
[(1, 24, 1, 1)]: 4
[(1, 192, 40, 23)]: 4
[(1, 48, 480, 272)]: 4
[(1, 96, 480, 272)]: 4
[(1, 72, 480, 270)]: 4
[(1, 48, 320, 184)]: 4
[(1, 64, 80, 45)]: 4
[(1, 960, 1, 1)]: 4
[(1, 256, 320, 180)]: 4
[(1, 32, 640, 360)]: 4
[(1, 72, 1, 1)]: 4
[(1, 576, 1, 1)]: 4
[(1, 672, 1, 1)]: 4
[(1, 168, 1, 1)]: 4
[(1, 120, 240, 135)]: 4
[(1, 184, 120, 68)]: 4
[(1, 72, 320, 180)]: 4
[(1, 96, 80, 45)]: 4
[(1, 192, 60, 34)]: 4
[(1, 64, 120, 68)]: 4
[(1, 32, 960, 540)]: 4
[(1, 120, 160, 90)]: 4
[(1, 32, 240, 135)]: 3
[(1, 96, 40, 23)]: 3
[(1, 240, 160, 90)]: 3
[(1, 40, 80, 45)]: 3
[(1, 40, 120, 68)]: 3
[(1, 96, 60, 34)]: 3
[(1, 240, 240, 135)]: 3
[(1, 32, 160, 90)]: 3
[(1, 96, 480, 270)]: 2
[(1, 768, 80, 46)]: 2
[(1, 384, 160, 92)]: 2
[(1, 200, 80, 45)]: 2
[(1, 88, 160, 90)]: 2
[(1, 24, 160, 90)]: 2
[(1, 72, 160, 90)]: 2
[(1, 200, 120, 68)]: 2
[(1, 3, 224, 224)]: 2
[(1, 144, 80, 45)]: 2
[(1, 48, 80, 45)]: 2
[(1, 480, 1, 1)]: 2
[(1, 288, 1, 1)]: 2
[(1, 16, 320, 180)]: 2
[(1, 768, 120, 68)]: 2
[(1, 2048, 40, 23)]: 2
[(1, 384, 240, 136)]: 2
[(1, 120, 120, 68)]: 2
[(1, 40, 1, 1)]: 2
[(1, 120, 80, 45)]: 2
[(1, 144, 120, 68)]: 2
[(1, 48, 120, 68)]: 2
[(1, 672, 40, 23)]: 2
[(1, 96, 1, 1)]: 2
[(1, 72, 240, 135)]: 2
[(1, 24, 240, 135)]: 2
[(1, 8, 1, 1)]: 2
[(1, 16, 480, 270)]: 2
[(1, 320, 40, 23)]: 2
[(1, 88, 240, 135)]: 2
[(1, 96, 320, 180)]: 2
[(1, 16, 1, 1)]: 2
[(1, 144, 160, 90)]: 2
[(1, 672, 60, 34)]: 2
[(1, 320, 60, 34)]: 2
[(1, 144, 240, 135)]: 2
[(1, 96, 961, 541)]: 1
[(1, 144, 483, 273)]: 1
[(1, 1536, 40, 23)]: 1
[(1, 48, 960, 544)]: 1
[(1, 1536, 60, 34)]: 1
[(1, 256, 160, 90)]: 1
[(1, 512, 80, 45)]: 1
[(1, 3, 1920, 1088)]: 1
[(1, 128, 320, 180)]: 1
[(1, 3, 1281, 721)]: 1
[(1, 96, 641, 361)]: 1
[(1, 144, 323, 183)]: 1
[(1, 240, 161, 91)]: 1
[(1, 64, 960, 540)]: 1
[(1, 288, 40, 23)]: 1
[(1, 96, 960, 540)]: 1
[(1, 96, 160, 90)]: 1
[(1, 288, 80, 45)]: 1
[(1, 288, 60, 34)]: 1
[(1, 288, 120, 68)]: 1
[(1, 672, 83, 49)]: 1
[(1, 96, 240, 135)]: 1
[(1, 96, 640, 360)]: 1
[(1, 192, 80, 45)]: 1
[(1, 672, 123, 71)]: 1
[(1, 240, 241, 137)]: 1
[(1, 64, 640, 360)]: 1
[(1, 3, 1280, 736)]: 1
[(1, 48, 640, 368)]: 1
[(1, 3, 1921, 1081)]: 1
","[(192, 192, 1, 1), (192,)]: 24
[(192, 192, 3, 3), (192,)]: 22
[(256, 256, 3, 3), (256,)]: 18
[(1024, 512, 1, 1), (1024,)]: 16
[(384, 384, 1, 1), (384,)]: 14
[(64, 64, 3, 3), (64,)]: 14
[(512, 256, 1, 1), (512,)]: 14
[(128, 128, 3, 3), (128,)]: 14
[(96, 96, 1, 1), (96,)]: 14
[(960, 160, 1, 1), (960,)]: 12
[(384, 768, 1, 1), (384,)]: 12
[(96, 96, 3, 3), (96,)]: 12
[(512, 1024, 1, 1), (512,)]: 12
[(512, 16, 3, 3), (512,)]: 12
[(512, 512, 3, 3), (512,)]: 12
[(576, 96, 1, 1), (576,)]: 12
[(1024, 256, 1, 1), (1024,)]: 12
[(384, 384, 3, 3), (384,)]: 10
[(240, 40, 1, 1), (240,)]: 10
[(2048, 1024, 1, 1), (2048,)]: 10
[(256, 1024, 1, 1), (256,)]: 10
[(256, 64, 1, 1), (256,)]: 10
[(192, 384, 1, 1), (192,)]: 10
[(672, 112, 1, 1), (672,)]: 10
[(512, 128, 1, 1), (512,)]: 8
[(480, 80, 1, 1), (480,)]: 8
[(144, 24, 1, 1), (144,)]: 8
[(96, 576, 1, 1), (96,)]: 8
[(672, 1, 5, 5), (672,)]: 8
[(256, 512, 1, 1), (256,)]: 8
[(256, 128, 1, 1), (256,)]: 8
[(384, 64, 1, 1), (384,)]: 8
[(384, 1, 3, 3), (384,)]: 8
[(160, 960, 1, 1), (160,)]: 8
[(256, 8, 3, 3), (256,)]: 8
[(1152, 192, 1, 1), (1152,)]: 8
[(480, 1, 3, 3), (480,)]: 6
[(128, 256, 1, 1), (128,)]: 6
[(1024, 32, 3, 3), (1024,)]: 6
[(64, 3, 7, 7), (64,)]: 6
[(24, 96, 1, 1), (24,)]: 6
[(112, 672, 1, 1), (112,)]: 6
[(40, 240, 1, 1), (40,)]: 6
[(240, 1, 5, 5), (240,)]: 6
[(2048, 512, 1, 1), (2048,)]: 6
[(144, 1, 3, 3), (144,)]: 6
[(128, 512, 1, 1), (128,)]: 6
[(72, 24, 1, 1), (72,)]: 6
[(64, 384, 1, 1), (64,)]: 6
[(96, 384, 1, 1), (96,)]: 6
[(1152, 1, 5, 5), (1152,)]: 6
[(192, 1152, 1, 1), (192,)]: 6
[(192, 32, 1, 1), (192,)]: 6
[(192, 1, 3, 3), (192,)]: 6
[(576, 1, 3, 3), (576,)]: 6
[(24, 72, 1, 1), (24,)]: 6
[(32, 120, 1, 1), (32,)]: 6
[(120, 1, 5, 5), (120,)]: 6
[(960, 1, 3, 3), (960,)]: 6
[(120, 32, 1, 1), (120,)]: 6
[(120, 40, 1, 1), (120,)]: 6
[(128, 4, 3, 3), (128,)]: 6
[(144, 576, 1, 1), (144,)]: 4
[(576, 144, 1, 1), (576,)]: 4
[(16, 3, 3, 3), (16,)]: 4
[(40, 120, 1, 1), (40,)]: 4
[(184, 80, 1, 1), (184,)]: 4
[(184, 1, 3, 3), (184,)]: 4
[(80, 184, 1, 1), (80,)]: 4
[(168, 672, 1, 1), (168,)]: 4
[(672, 168, 1, 1), (672,)]: 4
[(960, 1, 5, 5), (960,)]: 4
[(240, 960, 1, 1), (240,)]: 4
[(960, 240, 1, 1), (960,)]: 4
[(32, 192, 1, 1), (32,)]: 4
[(1280, 320, 1, 1), (1280,)]: 4
[(576, 1, 5, 5), (576,)]: 4
[(80, 480, 1, 1), (80,)]: 4
[(112, 480, 1, 1), (112,)]: 4
[(512, 2048, 1, 1), (512,)]: 4
[(48, 96, 1, 1), (48,)]: 4
[(48, 48, 1, 1), (48,)]: 4
[(144, 1, 5, 5), (144,)]: 4
[(40, 144, 1, 1), (40,)]: 4
[(240, 1, 3, 3), (240,)]: 4
[(80, 240, 1, 1), (80,)]: 4
[(24, 144, 1, 1), (24,)]: 4
[(768, 768, 1, 1), (768,)]: 4
[(192, 768, 1, 1), (192,)]: 4
[(128, 64, 1, 1), (128,)]: 4
[(32, 3, 3, 3), (32,)]: 4
[(64, 256, 1, 1), (64,)]: 4
[(1024, 2048, 1, 1), (1024,)]: 4
[(16, 1, 3, 3), (16,)]: 4
[(64, 240, 1, 1), (64,)]: 4
[(16, 16, 1, 1), (16,)]: 4
[(72, 1, 3, 3), (72,)]: 4
[(96, 24, 1, 1), (96,)]: 4
[(96, 1, 3, 3), (96,)]: 4
[(240, 64, 1, 1), (240,)]: 4
[(16, 32, 1, 1), (16,)]: 4
[(32, 1, 3, 3), (32,)]: 4
[(96, 192, 1, 1), (96,)]: 4
[(48, 48, 3, 3), (48,)]: 4
[(96, 16, 1, 1), (96,)]: 4
[(256, 256, 1, 1), (256,)]: 2
[(32, 144, 1, 1), (32,)]: 2
[(255, 768, 1, 1), (255,)]: 2
[(255, 384, 1, 1), (255,)]: 2
[(40, 96, 1, 1), (40,)]: 2
[(480, 1, 5, 5), (480,)]: 2
[(255, 192, 1, 1), (255,)]: 2
[(96, 1, 5, 5), (96,)]: 2
[(192, 672, 1, 1), (192,)]: 2
[(512, 512, 1, 1), (512,)]: 2
[(512, 256, 3, 3), (512,)]: 2
[(96, 48, 3, 3), (96,)]: 2
[(24, 88, 1, 1), (24,)]: 2
[(88, 1, 3, 3), (88,)]: 2
[(256, 128, 3, 3), (256,)]: 2
[(128, 64, 3, 3), (128,)]: 2
[(1024, 1024, 1, 1), (1024,)]: 2
[(384, 192, 3, 3), (384,)]: 2
[(768, 384, 3, 3), (768,)]: 2
[(192, 96, 3, 3), (192,)]: 2
[(768, 1536, 1, 1), (768,)]: 2
[(48, 3, 6, 6), (48,)]: 2
[(288, 72, 1, 1), (288,)]: 2
[(96, 288, 1, 1), (96,)]: 2
[(72, 288, 1, 1), (72,)]: 2
[(288, 1, 5, 5), (288,)]: 2
[(288, 48, 1, 1), (288,)]: 2
[(192, 3, 16, 16), (192,)]: 2
[(160, 576, 1, 1), (160,)]: 2
[(320, 960, 1, 1), (320,)]: 2
[(48, 144, 1, 1), (48,)]: 2
[(64, 16, 1, 1), (64,)]: 2
[(64, 1, 3, 3), (64,)]: 2
[(24, 64, 1, 1), (24,)]: 2
[(72, 1, 5, 5), (72,)]: 2
[(40, 72, 1, 1), (40,)]: 2
[(144, 40, 1, 1), (144,)]: 2
[(1152, 1, 3, 3), (1152,)]: 2
[(200, 1, 3, 3), (200,)]: 2
[(80, 200, 1, 1), (80,)]: 2
[(144, 48, 1, 1), (144,)]: 2
[(48, 120, 1, 1), (48,)]: 2
[(88, 24, 1, 1), (88,)]: 2
[(120, 480, 1, 1), (120,)]: 2
[(480, 120, 1, 1), (480,)]: 2
[(672, 1, 3, 3), (672,)]: 2
[(72, 16, 1, 1), (72,)]: 2
[(160, 672, 1, 1), (160,)]: 2
[(16, 8, 1, 1), (16,)]: 2
[(8, 16, 1, 1), (8,)]: 2
[(64, 64, 1, 1), (64,)]: 2
[(64, 192, 1, 1), (64,)]: 2
[(320, 1152, 1, 1), (320,)]: 2
[(200, 80, 1, 1), (200,)]: 2
"
Add,542,"[(1, 198, 192)]: 172
(1, 198, 192): 96
(): 80
[(1, 198, 1), ()]: 50
(1, 1024, 120, 68): 36
[(1, 198, 768)]: 24
(1, 512, 240, 135): 24
[(1, 198, 768), ()]: 24
(1, 256, 480, 270): 18
(1, 2048, 60, 34): 18
(1, 192, 120, 68): 12
(1, 1024, 80, 45): 12
(1, 192, 80, 46): 12
(1, 80, 80, 45): 10
(1, 80, 120, 68): 10
(1, 160, 40, 23): 8
(1, 160, 60, 34): 8
(1, 512, 160, 90): 8
(1, 96, 160, 92): 8
(1, 96, 240, 136): 8
(1, 40, 160, 90): 6
(1, 112, 80, 45): 6
(1, 256, 320, 180): 6
(1, 2048, 40, 23): 6
(1, 192, 40, 23): 6
(1, 64, 120, 68): 6
(1, 64, 80, 45): 6
(1, 40, 240, 135): 6
(1, 192, 60, 34): 6
(1, 24, 320, 180): 6
(1, 112, 120, 68): 6
(1, 24, 480, 270): 6
(1, 384, 60, 34): 4
(1, 48, 480, 272): 4
(1, 48, 320, 184): 4
(1, 384, 40, 23): 4
(1, 32, 240, 135): 4
(1, 96, 60, 34): 4
(1, 96, 40, 23): 4
(1, 96, 120, 68): 4
(1, 40, 120, 68): 4
(1, 128, 240, 135): 4
(1, 256, 120, 68): 4
(1, 512, 60, 34): 4
(1, 64, 480, 270): 4
